"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"1",0.83,0.62,0.92,0.56,0.6,0.71,0.68,0.68,0.55,0.6,0.57,0.54,0.6,0.65,0.53,0.62,0.58,0.52,0.62,0.5,0.54,0.54
"2",0.83,0.62,0.92,0.56,0.6,0.71,0.68,0.68,0.55,0.6,0.57,0.54,0.6,0.65,0.53,0.62,0.58,0.52,0.62,0.5,0.54,0.54
"3",0.42,0.4,0.45,0.47,0.43,0.39,0.43,0.39,0.5,0.45,0.48,0.47,0.45,0.44,0.48,0.45,0.44,0.45,0.46,0.49,0.48,0.41
"4",0.42,0.4,0.45,0.47,0.43,0.39,0.43,0.39,0.5,0.45,0.48,0.47,0.45,0.44,0.48,0.45,0.44,0.45,0.46,0.49,0.48,0.41
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0.54,0.41,0.63,0.33,0.35,0.47,0.42,0.41,0.19,0.36,0.35,0.34,0.35,0.4,0.31,0.4,0.37,0.29,0.39,0.22,0.35,0.33
"7",0.54,0.41,0.63,0.33,0.35,0.47,0.42,0.41,0.19,0.36,0.35,0.34,0.35,0.4,0.31,0.4,0.37,0.29,0.39,0.22,0.35,0.33
"8",0.24,0.23,0.26,0.29,0.24,0.21,0.23,0.22,0.19,0.25,0.25,0.28,0.25,0.25,0.28,0.25,0.25,0.29,0.27,0.22,0.25,0.22
"9",0.24,0.23,0.26,0.29,0.24,0.21,0.23,0.22,0.19,0.25,0.25,0.28,0.25,0.25,0.28,0.25,0.25,0.29,0.27,0.22,0.25,0.22
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
