	decision	gains	losses
0	1	28	14
1	1	20	5
2	1	30	7
3	1	28	11
4	1	30	5
5	1	28	12
6	1	22	7
7	1	26	12
8	1	24	10
9	1	28	5
10	1	30	11
11	1	22	6
12	1	26	8
13	1	22	8
14	1	20	7
15	1	22	10
16	1	30	15
17	1	24	12
18	1	30	12
19	1	22	9
20	1	24	13
21	1	26	13
22	1	28	8
23	1	24	8
24	1	26	6
25	1	26	10
26	1	30	8
27	1	10	10
28	1	24	7
29	1	20	8
30	1	16	7
31	1	16	5
32	1	24	5
33	1	30	14
34	1	18	8
35	1	30	9
36	1	26	9
37	1	18	6
38	1	16	6
39	1	26	7
40	1	14	7
41	1	30	6
42	1	16	9
43	1	20	6
44	1	26	11
45	1	22	5
46	1	28	9
47	1	18	5
48	1	14	5
49	1	28	7
50	1	24	6
51	1	28	6
52	1	26	5
53	0	26	15
54	0	24	14
55	0	10	5
56	0	10	6
57	0	28	15
58	0	16	11
59	0	12	5
60	0	18	10
61	0	20	13
62	0	12	10
63	0	28	13
64	0	10	7
65	0	14	6
66	0	16	13
67	0	16	8
68	0	22	13
69	0	22	14
70	0	10	15
71	0	18	12
72	0	12	6
73	0	12	12
74	0	20	10
75	0	10	12
76	0	14	11
77	0	18	7
78	0	18	13
79	0	26	14
80	0	18	14
81	0	14	14
82	0	20	12
83	0	10	8
84	0	16	15
85	0	24	15
86	0	12	15
87	0	12	14
88	0	10	9
89	0	14	8
90	0	20	9
91	0	10	14
92	0	16	14
93	0	14	9
94	0	30	13
95	0	18	11
96	0	20	11
97	0	14	13
98	0	20	15
99	0	12	13
100	0	14	12
101	0	16	12
102	0	12	11
103	0	12	7
104	0	10	13
105	0	22	11
106	0	18	15
107	0	22	12
108	0	24	11
109	0	16	10
110	0	18	9
111	0	24	9
112	0	14	10
113	0	30	10
114	0	20	14
115	0	12	8
116	0	12	9
117	0	10	11
118	0	22	15
119	0	28	10
120	0	14	15
